count,coverage
284473800,0
388468684,1
507521495,2
515383850,3
441363068,4
333310076,5
228664110,6
145453656,7
87136206,8
49763269,9
27405697,10
14769937,11
7884744,12
4237411,13
2332997,14
1338952,15
818741,16
538737,17
375035,18
275983,19
211322,20
168524,21
137122,22
115027,23
98098,24
84404,25
71709,26
60846,27
52908,28
46639,29
40615,30
35745,31
31724,32
28670,33
26184,34
24240,35
22774,36
20875,37
18911,38
17376,39
16067,40
15214,41
13808,42
12758,43
12160,44
11456,45
10996,46
10100,47
9509,48
9076,49
8746,50
8421,51
8443,52
8166,53
7895,54
7357,55
7070,56
6551,57
6295,58
6296,59
5919,60
5728,61
5435,62
5108,63
4985,64
4488,65
4266,66
4152,67
3989,68
3873,69
3952,70
3902,71
3877,72
3837,73
3815,74
3503,75
3319,76
3243,77
3137,78
3220,79
3130,80
2983,81
2870,82
2795,83
2866,84
2814,85
2723,86
2605,87
2532,88
2571,89
2411,90
2390,91
2188,92
2249,93
1975,94
1960,95
1994,96
1824,97
1827,98
1818,99
1813,100
1708,101
1740,102
1769,103
1696,104
1624,105
1665,106
1597,107
1557,108
1571,109
1509,110
1435,111
1452,112
1377,113
1468,114
1368,115
1325,116
1380,117
1155,118
1254,119
1183,120
1143,121
1113,122
1220,123
1198,124
1162,125
1099,126
1112,127
1090,128
1077,129
1187,130
1038,131
1034,132
987,133
1023,134
918,135
991,136
915,137
975,138
930,139
924,140
906,141
866,142
830,143
785,144
742,145
751,146
746,147
764,148
725,149
720,150
680,151
717,152
683,153
679,154
649,155
666,156
660,157
639,158
715,159
685,160
652,161
641,162
696,163
646,164
579,165
574,166
581,167
536,168
521,169
576,170
471,171
522,172
511,173
529,174
533,175
541,176
479,177
523,178
529,179
533,180
491,181
538,182
484,183
478,184
550,185
583,186
558,187
524,188
496,189
498,190
494,191
463,192
440,193
498,194
468,195
475,196
479,197
498,198
520,199
497,200
532,201
516,202
514,203
493,204
465,205
436,206
440,207
415,208
433,209
424,210
418,211
417,212
458,213
424,214
454,215
431,216
430,217
441,218
409,219
419,220
433,221
423,222
383,223
404,224
405,225
332,226
381,227
327,228
364,229
369,230
357,231
388,232
394,233
349,234
376,235
328,236
362,237
342,238
333,239
333,240
380,241
353,242
353,243
358,244
363,245
339,246
365,247
359,248
338,249
152497,250
