Samples,synonymous,nonsynonymous,stopgain,stoploss,frameshift_insertion,frameshift_deletion,frameshift_block_substitution,nonframeshift_insertion,nonframeshift_deletion,nonframeshift_block_substitution,ExonicFunc_Unknown
T1805007_10X,0,0,0,0,0,0,0,0,0,0,1385
T1806001_10X,0,0,0,0,0,0,0,0,0,0,1393
T1806002_10X,0,0,0,0,0,0,0,0,0,0,1335
T1806003_10X,0,0,0,0,0,0,0,0,0,0,1366
T1806006_10X,0,0,0,0,0,0,0,0,0,0,1389
T1806009_10X,0,0,0,0,0,0,0,0,0,0,1400
T1806011_10X,0,0,0,0,0,0,0,0,0,0,1365
T1806015_10X,0,0,0,0,0,0,0,0,0,0,1371
T1809001_10X,0,0,0,0,0,0,0,0,0,0,1381
T1809002_10X,0,0,0,0,0,0,0,0,0,0,1420
